timestamp,open,high,low,close,volume,symbol
2026-03-10T00:00:00+10:00,1.09200,1.09206,1.09173,1.09179,100,EURUSD
2026-03-10T00:15:00+10:00,1.09179,1.09185,1.09152,1.09158,100,EURUSD
2026-03-10T00:30:00+10:00,1.09158,1.09164,1.09130,1.09136,100,EURUSD
2026-03-10T00:45:00+10:00,1.09136,1.09142,1.09109,1.09115,100,EURUSD
2026-03-10T01:00:00+10:00,1.09115,1.09121,1.09088,1.09094,100,EURUSD
2026-03-10T01:15:00+10:00,1.09094,1.09100,1.09066,1.09072,100,EURUSD
2026-03-10T01:30:00+10:00,1.09072,1.09078,1.09045,1.09051,100,EURUSD
2026-03-10T01:45:00+10:00,1.09051,1.09057,1.09024,1.09030,100,EURUSD
2026-03-10T02:00:00+10:00,1.09030,1.09036,1.09003,1.09009,100,EURUSD
2026-03-10T02:15:00+10:00,1.09009,1.09015,1.08982,1.08988,100,EURUSD
2026-03-10T02:30:00+10:00,1.08988,1.08994,1.08960,1.08966,100,EURUSD
2026-03-10T02:45:00+10:00,1.08966,1.08972,1.08939,1.08945,100,EURUSD
2026-03-10T03:00:00+10:00,1.08945,1.08951,1.08918,1.08924,100,EURUSD
2026-03-10T03:15:00+10:00,1.08924,1.08930,1.08896,1.08902,100,EURUSD
2026-03-10T03:30:00+10:00,1.08902,1.08908,1.08875,1.08881,100,EURUSD
2026-03-10T03:45:00+10:00,1.08881,1.08887,1.08854,1.08860,100,EURUSD
2026-03-10T04:00:00+10:00,1.08860,1.08866,1.08833,1.08839,100,EURUSD
2026-03-10T04:15:00+10:00,1.08839,1.08845,1.08812,1.08818,100,EURUSD
2026-03-10T04:30:00+10:00,1.08818,1.08824,1.08790,1.08796,100,EURUSD
2026-03-10T04:45:00+10:00,1.08796,1.08802,1.08769,1.08775,100,EURUSD
2026-03-10T05:00:00+10:00,1.08775,1.08781,1.08748,1.08754,100,EURUSD
2026-03-10T05:15:00+10:00,1.08754,1.08760,1.08726,1.08732,100,EURUSD
2026-03-10T05:30:00+10:00,1.08732,1.08738,1.08705,1.08711,100,EURUSD
2026-03-10T05:45:00+10:00,1.08711,1.08717,1.08684,1.08690,100,EURUSD
2026-03-10T06:00:00+10:00,1.08690,1.08696,1.08663,1.08669,100,EURUSD
2026-03-10T06:15:00+10:00,1.08669,1.08675,1.08642,1.08648,100,EURUSD
2026-03-10T06:30:00+10:00,1.08648,1.08654,1.08620,1.08626,100,EURUSD
2026-03-10T06:45:00+10:00,1.08626,1.08632,1.08599,1.08605,100,EURUSD
2026-03-10T07:00:00+10:00,1.08605,1.08611,1.08578,1.08584,100,EURUSD
2026-03-10T07:15:00+10:00,1.08584,1.08590,1.08556,1.08562,100,EURUSD
2026-03-10T07:30:00+10:00,1.08562,1.08568,1.08535,1.08541,100,EURUSD
2026-03-10T07:45:00+10:00,1.08541,1.08547,1.08514,1.08520,100,EURUSD
2026-03-10T08:00:00+10:00,1.08520,1.08528,1.08508,1.08516,100,EURUSD
2026-03-10T08:15:00+10:00,1.08516,1.08524,1.08503,1.08511,100,EURUSD
2026-03-10T08:30:00+10:00,1.08511,1.08519,1.08499,1.08507,100,EURUSD
2026-03-10T08:45:00+10:00,1.08507,1.08515,1.08494,1.08502,100,EURUSD
2026-03-10T09:00:00+10:00,1.08502,1.08510,1.08490,1.08498,100,EURUSD
2026-03-10T09:15:00+10:00,1.08498,1.08506,1.08486,1.08494,100,EURUSD
2026-03-10T09:30:00+10:00,1.08494,1.08502,1.08481,1.08489,100,EURUSD
2026-03-10T09:45:00+10:00,1.08489,1.08497,1.08477,1.08485,100,EURUSD
2026-03-10T10:00:00+10:00,1.08485,1.08493,1.08473,1.08481,100,EURUSD
2026-03-10T10:15:00+10:00,1.08481,1.08489,1.08468,1.08476,100,EURUSD
2026-03-10T10:30:00+10:00,1.08476,1.08484,1.08464,1.08472,100,EURUSD
2026-03-10T10:45:00+10:00,1.08472,1.08480,1.08459,1.08468,100,EURUSD
2026-03-10T11:00:00+10:00,1.08468,1.08476,1.08455,1.08463,100,EURUSD
2026-03-10T11:15:00+10:00,1.08463,1.08471,1.08451,1.08459,100,EURUSD
2026-03-10T11:30:00+10:00,1.08459,1.08467,1.08446,1.08454,100,EURUSD
2026-03-10T11:45:00+10:00,1.08454,1.08462,1.08442,1.08450,100,EURUSD
2026-03-10T12:00:00+10:00,1.08450,1.08458,1.08438,1.08446,100,EURUSD
2026-03-10T12:15:00+10:00,1.08446,1.08454,1.08433,1.08441,100,EURUSD
2026-03-10T12:30:00+10:00,1.08441,1.08449,1.08429,1.08437,100,EURUSD
